"Username","Comment"
"Panks","don't worry change is coming"
"Manuel Gomez","Yet the farmers gets no protection from middle men!!  SOB  DA!!"
"DiKambingcorn","Pinabayaan kasi natin ang ating agrikultura.  Puro subdivision na. Kaya ang mahal ng pagkain."
"Manolito Hidalgo","Yong mga nakaupo 8walang programa para sa agrikultura.naka concentrate kasi sa paggawa ng kalsada na ang pond8o ay inutang.mga batas na nagpapahirap RFID,vehicle inspection at iba pa.puro kasi military ang matataas na opisyal pati vaccine czar hindi doctor.nahihirapan na tlga kasi ang mahal ng mga bilihin."
"D L","Yung mga mraming pera myayaman  d gano ramdam pano nmn yung mliit lng knikita  sana nmn me mgkusang magkawangawa myayaman more feeding program para sa mga mralita lalo n mga bata helpless at mga corrupt iblik yung nkulimbat sa taong byan maitulong   mkaraos sa msamang epekto ng pandemya"
"Maurice Supot","these cartels need to be taught a lesson"
"Chairman Xi JinPooh","kaya mas praktikal na talaga sa panahon ngayon na walang anak..."
"aew ty","Highest rate among ASEANs!? Naku kaya natin to kasi madiskarte tayo lahat! We will earn double and it will be nothing..Haha..Charot lang!  Pero ang totoo masakit na po talaga. Sana makagawa naman ng paraan ang karamihan na nasa pwesto. Naniniwala ako na magaling kayo, kaya kayo nandyan."
"christopher19843","Sa totoo lang sobrang tamad ang mga nasa gobyerno natin. Tignan nyo ang Israel partida disyerto pa ang lugar nila pero number 1 pag dating sa agrikultura. Dapat yung mga nasa gobyerno natin ay mag isip at tumingin tingin sa ibang bansa na effective solutions."
"Aira Camille","Lord pls help us"
"Algosho's Digital Playground","Change is coming. Ayun, barya nalang natatangap natin. Barya nalang din natitira sa bulsa tapos mag grocery. "
"Godbless","Tss ung sahod 300 a day pno un pmasahe pa
Di nmn lht ok ung sahod
Madami p walang trabaho"
"Michael Manlolo","manipulated inflations some one or somebody should be punished.."
"jay dope","are we even surprised tbh?"
"Ann song cover","Bumili ako kanina NG tangahalian namin for tomorrow, 2pcs saving saba 5 pesos, isang tali NG petchay 20pesos, 2 pcs na kamote 5peso. Tapos 5pirasong beef slice na manipis 85 pesos. Ilaga ko bukas pwede na basta masabaw at may gulay na pangpahaba NG buhay "
"ROYCE IVAN A ILAO MC","Ang hirap na ng buhay ngayun."
"trebledc","Such an incompetent cabinets"
"Milan Emer","Hanggang kelan kaya mag titiis!!kelan mag baba ang mga bilihin!!asin na lang ang mura!!"
"Emyt Rose","Pano puro subdivision na kasi makikita ngyun.eh kung bumili ang gobyerno ng lupa na pwede tamnan ng mga gulay."
"Adenna Gruetzmacher","The USA is printing dollars even faster that the PH is printing paso. 47:1. This will not end well."
"me too","Okay lang yun mas maigi mag gulay. Dami daming gulay nalalanta nalang"
"the_ketoking","kaya dumadami holdupan now sa hirap ng buhay , wala na nga trabaho iba tuloy tuloy pa pagtaas bilihin..mas mahal ang pagkain natin kaysa sa states ..which is mas mataas dapat sila kasi mas malaki pasahod sa states..biro mo isang kilo liempo sa atin almost 10 dollars nakakaloka na"
"Jason Boore","Dapat hindi linagyan ng price cap yung tumataas na bilihin, they should let it be. Malaking pinsala yn sa ekonomiya"
"anon anon","Protokills pa at lockdown."
"piggydish","Let's import our food"
"Th an","Tiis pa tayo sb ni tay digong , unahin lang muna ung mas kailangan gaya ng intel fund .... huaaaaaaaahhhh"
"Glizer Revil","Dapat ibalik sa normal wlang kwenta nman yang covid 19.."
"ColaFizz","Ayaw pang aminin na dahil sa lockdown ang inflation."
"Greg Rizal","Ang galing talaga ng diyos ng mga DDS. Biro mo tayo na ang may pinakamataas na inflation rate sa ASEAN economies. Mag celebrate na lahat ng 16 m bubutantes, iyan ang napala ninyo."
"iGot7-Wiz*OneStay-Aroha-Army-Once-OneIt","Not surprised. Our government is not too bright."
"Dean Cafe","Because we have the best government kunoh."
"Helsinki Oslo","Labas mga bitter. iyak na lang kayo"
"PROUD IGORot","Lockdown pa more. Magalong pa more."
"john marino","tama lng yan may pambili nman mga tao dds pa more, mabuti nga sana tumaas pa ng mauntog na"
"A'TINational","Masarap po repolyo at itlog omellete, sardinas sotanghon or misua or udon, magpansit miki na may sardinas, tipid tipid muna,
Mahal ang gulay bilhin nyo yung upo,repolyo,sitaw,kangkong para madami makakakain.hahahaha yung puso ng saging at sardinas gawing burger patty"
"JC","ang problem talaga government...kanya kanya na ang nakaw....mahirap na nga pera lalo pa kinakawawa di talaga kaya magtaas ng sahod ng mga negosyo dahil mahirap talaga ang pera ngayon walang masyadong pumapasok na pera......pinepwersa ng gobyerno magtaas ng bilihin mga negosyante dahil walang adjustments ginagawa ang gobyerno para pababain ang bayarin ng negosyante kaya napipilitan sila magtaas ng presyo kahit na ayaw nila ....walang considerasyon ang gobyerno mahirap na nga lalo ginigipit...kanya kanya na wala silang pakialam sa mga taong mahihirap...basta sila may kinakain ...yan ang nakakalungkot kahit mga negosyante hirap talaga sila...pls pray for our country na di maging selfish ang mga nakaupo....marami talaga iniisip lang sarili nila...kaya walang nangyayari sa ating bansa"
"Arcifera Lance","Nice. print pa ng pera para lalaki at lalaki yung inflation."
"Ulra Deja","Build, Build, Build pa more"
"Juan Gabriel Hulipas","why"
"marvlog","Hi? Idol sinipa na kita sa channel mo ako rin idol ha sipain morin ako ha slmat idol"
"jeremiah sky","Gulay muna wag ng sahugan ng Gintong Baboy. "
"PONTIFEX MAXIMVS","Namimiss ko na baboy."
"C2S ART INK PRINT HUB","kung ang napapanood natin ay ganun talaga ang cabinet meeting wag ng magtaka pa promo lang dahil may cam..."
"Lynn A","Kapag walang bumili nyan mapipilitan din yang ibaba ang presyo ..."
"gonzales prenda","All money now in the hand of politician."
"BeatsbyBlanch","""Wala tayong pera""
Buys new fleet of helicopters
Prints more paper money"
"John Xina Sr.","TAPOSKONG ANO ANO PA BATAS PINA PATUP[AD"
"Rose Kabalaghan","140 to 170 lang baboy di2 samin dyan lang naman sa ncr mahal."
"Look OUT","Salamat duterte"
"YK 21","The Peso will soon be worth less than a piece of toilet paper. Convert your paper assets into hard assets NOW while you still can. Gold, silver, land, etc... NOT Bitcoin!"
"barbara escuela","Nobody complains that a kilo of tomatoes and a kilo of bananas or more expensive than a kilo of pork? Most people already have diabetis high blood are fat af....ugh"
"Louise Ann Molero","sino ang may kasalanan?syempre  ang Gobyernong ito  mga kababayan"
"zuxx00","Binabawi na ng gobyerno ung mga pinang-ayuda!!"
"Noobz","Bumili na kayo ng gold, silver or cryptocurrency"
"Farang Explorer","All thanks to COVID19"
"Alvin I. Guevarra","Magagaling kasi mga cabinet member & mga secretary na mga ex-military general! ""Magaling"" kasi nag appoint! Haeyszt!"
"alexis gan","panung ndi tataas eh sangkatutak ng middle man bgo mkarating sa merkado"
"Jocel Diaz","Pag kasiraan talaga Ng gobyerno Ang bilis"
"tunay rustia","Huwag na kumain ng baboy delikado sa kalusugan at Mahal pa"
"Jeff La Torre","natanso nanaman tyo ni pduts"
"Ruben Angeles","...."
"gonzales prenda","Change the goverment lider possibly this kind of situation will be change."
"Jose Nino","gisingin nyo na po si Pooong nasa kulambo"
"Nash Ordonia","dute... char balakayojan"
"Rai Hada","Lie"
"Louie Delarosa","Sana naman maisipan din ,palawakin ang agriculture ,ang daming bundok sa pilipinas atga kagubatan,bakit hindi patagin at paalagaan ng mga lives stock?hindi mo naman makakain ang mga semento at bakal sa pilipinas,,,bakit hinahayaang mawala ang mga bukid?baka balang araw mawala na lahat ng tao sa pilipinas at mapalitan na ng robot na hindi na kailang kumain pa"
"Luis Gatmaitan","Nganga ang mga bumoto sa mga baliw akala nyo mag mamagic o ayan namnamin nyo resulta ng katangahan nyo."
"N Mabs","Mabuti naman ang puso ni rodrigo duterte, ang mga taohan lang niya ay... ay... ayayay..."
"richard santos","nung kampanya sabi nya magiging komportable ang buhay ng mga pinoy ito ba ang best president nyo"
"Zen-Oh Sama","The cost of living in the Philippines is far higher than in the USA. That's a fact."
"Slim Jim","Ha ha ha.....ANOTHER daturtle plan NOT thought thru...
Why would a businessman want to sell Manila anything at all when he can get a better price elsewhere??.."
"Geen Brian","Pahirap tong government ngaun! Tagal mag 2022 election!"
"BallinTrollin","PELEPENS NUMBA JUAN nanaman XD"
"PAM CATAP","HAIZT DUTERTE, walang kuwenta"
"Mike Shinobi","Salamat sa pagsuporta sa presidente natin guys. Mag kapit bisig tayo maiaayos rin ang lahat. Tiwala lang."
"Perlas ng Silanganan","The Duterte Legacy "
"Squared","Highest Inflation Rate at Negative GDP growth?

Balik golden age of Marcos na naman ba tayo?"
"Cesar Martinez","PRRD your cabinet secretary's are underperforming,mga inutile. Yang Secretary of, Agriculture, DOTC Secretary Tugade magaling magsalita puro pahirap ang programa niya.,kasama LTO agency."
"Lelouch Britannia","Paulit ulit nlng ba etong balita na eto? try nyo din kc mag bayad ng mga utang nyo sa gobyerno para nmn maka tulong kayo sa mahihirap."
"Paul John Plecis","That's happen when you elected a president has no knowledge in economics."
"exZy exZee","may nagcomment eto daw napala kase si digong ginawang presidente. kung si Mar Roxas lang daw sana baka kasing yaman na daw sana ng South Korea "
"John F","Kung si Leni ang presidente walang inflation. Ganyan sya kagaling."
"spooT","i mean it's pretty understandable. You can't just snap at inflation and expect it to change immediately because it's not just based on the Philippines alone. The whole world is literally facing inflation problems at the moment. Idk who gave these negative scores, they either don't know on how inflation works or they're just pretty stupid. I hope it's the former"
"All About Good news","Stay strong everyone! Inflation here in the US is again hitting us hardly. All prices are increasing. Last week the gas price per gallon is $4.97, now $6.39. Basic prices here in the US are soaring! Filipinos are lucky that you have a President who knows how to mitigate what’s coming. Your President is preparing for the worst economic depression. Economists here in the US are predicting for the upcoming worst. You need to help your President to fulfill his economic goals."
"Josephine Villar","why  compare  it  with  the  previous  admin. when  there  was  no  war  last time  and  its uncontrollable .."
"KA TOTO with Nico A.","When Marcos assumed the presidency, the price of gasoline was 89-100 pesos, now 62 pesos. It happened globally."
"Augusto Mandapat","hindi control yan ng gobyerno dahil hindi lng tayo ang apektado"
"Lyn Agustin","Lahat naman ng bansa nararanasan yan... Love and support pbbm.. "
"Dave H","Not bad!! Well done Sir,  

Yes indeed. OPEC are reducing production because even they are suffering because they are getting less for their Oil in their Currency!"
"Marievic Young","Saan bansa ang Hindi nakakaranas  ng inflation? Japan now is at their worst economic problem"
"J. Madelozo","Inflation will not stop, the inflation that's hitting our country is purely exogenous, hence out of our control. No monetary policy will provide an effective solution to inflation, not without compromise. For as long as trade embargos exist on our foreign suppliers, inflation will remain rampant, and we can't do anything but watch."
"Mia Alena","Yung sa dami ng magaganda at matataas na rating ang highlight talaga un pangit. Way to go paidstream media! Ibang klase kayo. Buti nalang objective sumagot si Holmes."
"Rina Bobis","Is there a known country in the world that can avoid inflation these days? It is widely assumed that the entire globe will be forced to go through it. Even China is battling to stop the domino effect in its massive economic engines, which began with its intractable massive money-making real estate deterioration....Every country is bracing for the impending catastrophic economic problems...right now, it is just getting started, and the Philippines is one of 130 countries in the same scenario.  PBBM is racing and working around the clock with his economic staff to build economic support so that his government has something to hold on to amid these protracted periods of economic uncertainty. Where each country is forced to devise its own solutions to the same inflation problem. PBBM is focused and determined to shield the Filipinos in order to endure the economic disaster at a lightweight level."
"Denise Chua","I support PBBM. He is doing a great job. Even CNN people cannot help in just announcing ratings and you guys cannot contribute to any solution if you always focus on negative things. Global problems can't be solved overnight. Remember that our President is only in his 6 months in his office. His accomplishments should be applauded. He is respected by world leaders."
"Rosalia Bonayog","God speed to help one another."
"José Augusto Figueiredo","KKKK They will pay for the product plus the fee for embezzlement practiced with the dollar.
'Good morning!': Hungary mocks Macron after he complains about high US LNG prices
A Hungarian government representative responded to the French president's remarks after he said the US is selling its liquefied natural gas to Europe at prices much higher than its domestic market."
"Roxanne Ledoyra","We support PBBM gov."
"manuel salvador","F1 grand prix is the priority..party! party! UNITHIEVES!"
"Lhillie","Please tell us what country is not affected by Inflation?"
"Luz Lumagui","maaring mahirapan ang mga marirap na pamilia sa imflation pagmamahal ng bilihin"
"DMAJR","Wagna tayo magtaka lahat ng bansa nkakaranas  yan  ."
"Comics Life","Please dont start by saying Global Crisis naman. That bullsh*t! Sa mga nanamantalang traders alam nio yan! Need na tlga ng rehas sa mga hoarders dito sa Pilipinas. Kung may death penalty lang sa mga ganid na hoarders malamang maglalabasan yung mga lintek na produkto na yan."
"Teodoro Tagle","Maghintay kayo hindi isang kisapmata na maayos ang problema ng Pilipinas"
"Norma Doldolea","Love PBMM"
"Jaime Mercado","PBBM …YOU WIIL GO MUCH BETTER WITHOUT FAKE NEWS. We support you all the way"
"Bathing Panda","wala ako maramdaman unity. pag hindi ka kapamilya kaaway ka. yun pakiramdam ko sa mga pinoy"
"私の一日","LOL! What the heck of a headline is this? Really? You magnified the area which has low rating, which he has little control, compared to the 11/13 positive ratings? Is that even journalism? Rubbish."
"Rey Perez","Si Lito Lapid, si Bong Revilla yata mataas din ang approval rating ng False Asia."
"Nilda Zamoranos","Worlwide yan inflation ,Pbbm galingan mo pa ..."
"Mark Gonzaga","Globally naman talaga ang inflation.. Mangmang lang ang maniniwala sa - 7 na rating ninyo..."
"Clarissa David","Highlighting the negative! As always, CNN!"
"Fred Osang","weh are u sure"
"jerry apelapel","hahaha dilawan na nmn nagbabalita alam na this"
"roy labuguen","Pulse Asia or palsong asia."
"Inday Dako","Sinong maniniwala Dyan"
"BayanKongSinilangan","Grabe naman kayo, hirap na hirap na kami sa bilihin, good job parin. Kahit sa DA walang ginawa. Nabudol talaga Ako sa pagpili ng presidente. Hayysst paano na di ko na ma rewind."
"DURAN, Jaedrielle Myzh","240 kilo ng sibuyas sa amin, magkano sa inyo?"
"Corazon Tapaoan","You want pbbm to do miracles. We are living in real world where real things happen. Why not try to find a way to at least help the country in this war against poverty."
"We All Like it So Milk It","I mean what do you expect? Gas and  USD/PHP trade is Fucked. Like bro USD/PHP is ALMOST 60PHP TO THE DOLLAR!? THATS 6 PESOS HIGHER THAN THIS YEARS AVG! I know were in a global recesion rn because of the Ukraine-Russian War and Covid-19 But JEEZ Come On At least raise the MIN SALARY a lil bit! COME ON !  EVEN STUDENTS CANT LIVE ON 500 A DAY! AND YOU EXPECT A FAMILY OF 3 TO?!"
"Pedro Magnaye","Wow, only negative results, your address, how about the positive matter,,, even the whole world are suffering from the inflation issues,,, expected the most data...."
"roy labuguen","You tell me which country is not affected by inflation now and I will tell you who is smarter than BBM. The Philippines may not be the one experiencing the worse."
"Oscar Delos santos","Inflation 6.7% pesos down, unemployment millions Filipinos are hungry”…. Marcos negligence of handling the budget for this year.”…."
"Harolyn Montilla","Lahat ng bansa naghihirap, sa US nagmamahalan lahat ,subra kaya do not blame it on the administration mag pray,  magtutulungan, mag unite.Inflation is all over the world."
"Crisinta Madrid","Maskey gaano kamahal ang lahat nana pagkain hindi kita mawalan basta  gumalaw at  maghanap buhay  atayroon kang dios sa buhay mo hindi ka kawalan"
"BOB OM","inflation, food shortage, Leadership"
"Necitas Taculad","Kolokoy your news."
"Winston Barquez","What is roiling the snake pit in Malacanang? This inflationary and recessionary situation will last until the end of the year."
"JC","Ito talaga headline nyo yung negative? Almost lahat ng bansa sa buong mundo malala ang infliation. BIAS BIAS pa more. Kaya nakakasawa kayo panoorin puro uninspiring na balita ang binabalita nyo. Buwahahahaha!"
"YouCan'tAlwaysGet WhatYouWant","Fake news. Sa lingguhang taas presyo mabagal pa ang lagay na han"
"Wally","Invest in different streams of income in other not to depend on the government for funds and avoid all the chitchat about the inflation bla bla bla***"
"blip8634","kala ko ba build build build? bakit bumagal?"
"Jun Bersuela","Wla aq pk pta"
"Joyce V","Peace will make Philippines one of the most develop country in the near future and Filipinos should unite by supporting the governtment fully"
"Joyce Gem","""we are starting from a much lower base that's why we expect ... recoveries"" in short, the GDP is a reflection of the reopening of industries (after lowering alert levels) and not because of elections. Easily achieved and much expected GDP due to lowered restrictions. Not because of elections :)"
"Reynaldo Fry","For travelers arriving on April 1, 2022 and onward, the mandatory pre-departure RT PCR COVID Test will no longer be required to travel to Thailand."
"Reynaldo Fry","Fully vaccinated visitors can now enter Thailand by air or land without any pre or post entry compulsory health test"
"noemi noemi","need to inreaase agricultural output and protect sea life so marine life can multiply to increase supply.    Stop relying on imports ,food is expensive in the PHilippines compared to our neighbors given the low salaries of the masses.   The rich don't care about high prices because it doesn't affect them.     This will affect food quality served and will negatively affect tourism in the PHilippines"
"Teachmehowtodoge","Yellow fanatics and NPA Students left the group. Lol "
"gliangco","hey you should listen to the rest of his response in this Q & A, it will give you a gauge of how much he remembers of economics 101...i said remember not understand..."
"MoeLuv","Easily 6.1% 
Everywhere inflation "
"DMP","you don't disagree with statistics... Just pure madness"
"Nutrition Facts",".indenial your face!"
"skipthelou","May pagka economistanga nga itong si baby m "
"Jefferson Rivers","Ibalik ang e sabong na magkaroon ng podo ang government"
"cera","palibhasa hindi pa nakakaranas kapusin ng pera sa pang araw-araw na pangangailangan, rich kid"
"Claudy Claret","Pekein nalang ayaw sa 6.1 e"
"Egay Lagay","everytime bukas bbm nang bunganga lumalalim ang hukay...si duterte kpag di alam...ask Bong go and makakalusot...katulad nang presidential debates wag masyado press con live...again si dutz madaling araw at taped at edited...no mistakes..."
"One Repormista","Sabi ng mga trolls hndi nman daw!!"
"ModifyThePhase Variance","Delusional?"
"NICK MONTALVO","Bagsak kc sa economics kaya di alam"
"Bruce Whine","He recalls the overall average inflation 4.4% that's why he disagrees with this quarters inflation"
"Cute Quo","Bungol na bbm"
"television has a fever","May mascara yung ilong ni girl nagsasalita 0:05"
"Armando Javilinar","Pp"
"rene rosalez","Okay lang kahit 20% inflation, kayang kaya ni BBM yan!"
"Kimberly Paris","Maybe he recalls the projection from BSP Monetary Policy Report.   ""Inflation is expected to settle above the target range of 2-4% in 2022 and could average near the upper band of the target in 2023."""
"Roderick Cruz","The confidence he exudes raises my hopes for our country's economy."
"evelyn villanueva","We can never go forward if some Filipinos until now remains blind to what the govt is doing to overcome all challenges we are presently facing..Finance sec Diokno expressed clealy the direction we are heading too and he was very optimistic of our future in the next 6 years and beyond."
"kentkoolitz","Suportahan natin ang Gobyerno at mga sangay nito para sa pag-ahon at iakuunlad ng Bansang Maharlikang Pilipinas  🇵🇭"
"Ligaya Brgenia","Let us unite . Support the Government "
"remegio visitacion","Isa Ako maliit na negosyante. Ang mga mamimili ay nahihirapan sa tumataas na presyo Ng bilihin. Sana ma resolba Ang pagmahal Ng petrolyo. Kahit papanu di tataas Ang bilihin .. bantayan Ang presyo nito kawawa Po Ang mamayang pilipino..."
"Oliver Francisco","My kudos to Sec. Diokno"
"Veny Casala","Sec Diokno,you are realistic, positive and hopeful..We, the people must show support, encouragement and hope to the governmnet."
"KA TOTO HANAN CHANNEL","wow its ok good next year big change will happen thank you secretary Diokno. Very good projection for our economy"
"Antonio Regidor","An apology might be a better idea, with the committing of two policy errors (tearing up forward guidance, and apparently switching to consumer price inflation as a price target). Data—notably consumer inflation expectations—has been revised since the meeting, altering the outlook."
"Rhea Carbonell","Sir,
Ang taking Po.
Sam's Po tuloyan ng umunlad Ang pilipinas.,"
"Arvin Quitasol","I suggest to expediate the E invoices to generate more revenue and eliminate corruption."
"Norman Nabatar","When then PNP Chief now Senator Lacson issued a memo elevating the drug problem into a national security issue, he succeeded. Sec. Diokno should do likewise. I am sure former secretary Paul Dominguez will agree."
"Vince Su","Do everything to avoid bankruptcy"
"Jess Mend","With the Philippines having no substantial production of oil and gas, the cost of which being the main driving force of  the world inflation,  good luck Diokno  on your inflation target of 4.2%  next year and  3.3% in 2024.   The govt can continue subsidizing drivers by raising taxes  on gas companies but this will be ultimately passed on to the consumers  and so the higher inflation continues.     Unless of course the Marcoses decides to release the Tallano gold  to the  Filipino people, lol "
"Mr. E Gojar","Need to be prepared....a lot of clarifications are needed along the way.... 6 days have just passed for a six  year term.."
"Mcgregg Wilbour","Drifting into the trading world without the help of a professional trader and expecting profits is like turning water into wine, you would need a miracle, that's why i trade with Gina withney her skill set is exceptional."
"remegio visitacion","Support local businessman and own product., Para maka pag export Po Tayo Ng product..Ang local product tulad, rubber, kopra at palay etc . Kalamansi juice at mineral water. Pwede ma export... Kulang ma pondohan Ang mga negosyante Neto. Dapat Ang government gumawa hakbang para Tayo makaahon... Sakin sa laki buwis maliit negosyante mahirap talaga. .tos pagwala ka Malaki ma collateral mahal interest mangutang sa banko..pwera if stablish na Ang negosyo mo. Gusto sabaysabay pag ka ahon Ng bansa... Bigyan Ng siminar mga kabataan about enterprenur. Di lang poro about sa makatapos sa pag aaral... Dapat hikayating magaling sa economic mga Bata para di lakwatsa Ang alam."
"Uchiha Susuke","kaya mo tan diokno! ikaw na alng ang pag-asa ng bayan na ito."
"Merrilee Leonard","tweet:  in reference to the high prices of foods and other commodity, but certainly the most recent price-hiked of Rice.  Powide bang ang gov't na lang ang bumi-le ng Rice directly from farmers, and in turn, gov't can sale the Rice back to the public at cost?  Gov't negotiates Rice prices with farmers and get the very best price they are able to sell and at that very purchased price, gov't sells it back to the supermarkets at cost.  Could this idea bring the high prices of rice down [to] the bare-minimum, and help reduce inflation.  God speed.  jul2022."
"Cdcd","Dollar is 59 and not increasing rates like that of the fed"
"Elvis45 HoH","Its very clear BBM's knowledge about certian topics is very limited. Now I'm more concern on how he would run the country for the next 6 years. Gudluck to the PH"
"Alex Campbell","The ordinary juan de la cruz is suffering! Further, Knowing a birthday party is held in malacañang for the 93th birthday of ..., and another inaugural party where commemorative “gold coins” are given, these pronouncements from Sec. Diokno seems beyond the feel of juan’s tummy."
"mark72141","First cabinet meeting absent si Diokno !"
"Gilbert Martinez","Sec. wag natin ilkompara ang inflation natin sa mga mayayaman na bansa. Kaya ng mga mamayan nila i absorb ang mahal ng bilihin nila. Ang pilipino hindi."
"sboudreaux27","Did Duterte leave Marcos Jr with a budget surplus ?"
"centjun turion","Hi po. Dati po sabi nila noon 8.3% growth rate by Q1, nayon nagiging 13.2% na po?"
"Hell Woodz","Buti pa to si sir Ben Diokno, mapapabilib ka pag nagsasalita, at d naman sa pagmamaliit and I still have high respect for this person pero bakit kabaliktaran Naman Kay sir Chel Diokno?"
"Virginia Marte","BBM should have been more cautious to speak of issues that he doesn't have a full knowledge of."
"Gilbert Martinez","Misunderstood. Umpisa nang lumalabas ang mga manghihilot."
"chito xyz","Ang dami dito hindi pa maka move on. Magaling pa kayo sa presidente. Sya ang pinili ng 31.6 million pilipinos"
"Uni Fam","Not recommended channel"
"Francis MD3377","pinalabas lang ni diokno na shungak c pbbm ... inflation always current"
"Mang Kanor2022","Bakit ba lagi english. Mas marami makakaabsorb ng sinasabi nyo pag tagalog.  Pls baguhin na natin tong ganito style. Tayo lang gumagawa nito."
"CHARLIE","support the GOVERNMENT"
"Merlinda Villa","Sec.please coordinate with bbm . Ordinary people do not understand inflation.Ang naintindihan ng mga tao ay..tumataas ang mga presyo ng mga bilihin..meaming sa one thousand pesos..kaunti na lang ang nabibili
Please brief bbm properly bcoz he do not understand economics"
"Mai Manalang","Pno nya mraramdaman ang inflation rate eh Hnd nmn nmamalengke yan, mayaman cla Marcos, mhhrap lng mkakaramdam nyan yung mga minimum wages"
"hacsa26a","Hahaha una plng palpak n...I hope not the whole 6 years ay d palpak..."
"Rage Jinping","SINO TUNAY NA LUTANG SA KATANGAHAN. DI MAAMIN NA WALA SIYANG ALAM SA EKONOMIYA. BUTI PA IYONG HINDI IBINOTO NG 31 M MAY PLANO PARA SA EKONOMIYA."
"Martino Buenafe","Bakit yta pag upo ni PBBM LALONG TUMAAS ANG MGA BILIHIN SA GROCERY??? SINASAMANTALA YATA NITONG MGA NEGOSYANTE ANG PAGPAPALIT NG ADMINISTRASYON...PAKISILIP LNG PO ARAW- ARAW 2PISO ANG TAAS"
"Victor Rafols","BoBoM hindi naka intende sa 6.1 Inflation, Ano na Pulahan? Golden Age? Oo Golden ang Presyo ng Petrolyo at Bilihin, Asan na ang 20.00 Kilo ng Bigas?"
"Roldan Medrano","Salamat po PBBM"
"Nan Moto","golden era"
"Tuk Mol","Don’t worry. Golden Boy will fix it."
"Dan Paolo L. Policarpio","Lit! "
"Yayuuauua","here comes the golden boy"
"Paul Hamilton"," nag move on ang inflation  please huwag nega, bitter, and judgmental dahil poor na poor ka pa more and can’t afford the 20php kilo of gasbi "
"centjun turion","More utang is coming..."
"Mesmerized","4% lang yan accdg to BBM hahaha"
"bear hakuna","salamat po Russia !!for making all high price .."
"Albert Teng","The US dollar is just too strong right now. Almost all currencies have depreciated against the dollar.  PBBM may have to raise interest rates to control inflation but it will risk economic growth. Its a tough balancing act. One wrong move and everything goes down"
"Betty Yu","Data do not lie. Inflation is 6.1%. The reason why we have depreciated pesos vs USD is due to the dovish stand of BSP on interest. May interest increased by .25% while June by .25%. The Federal Reserve has been hawkish; interest increased .50% in May and .75% in June. Now depreciated pesos will likewise increase import prices of petrol products and other commodities…"
"Romeo Umaga","he don't agree with inflation of 6%. But the very much depreciated pesos tells that inflation is 6 or more"
"Donato R. Vytiaco","The 5 stages of grief:
Stage 1: denial
I’m already at Stage 2: anger
Who will our President do Stage 3: bargaining with? The bloggers he hired for his PR?"
"Ogier The Dane","The BBM presidency will be a Golden era... for himself."
"Obang’s Fish Gourmet","Like father ,like Son talaga Galing!"
"Theo G.","Everyone who voted for him, here it is. He isn't going to do anything about inflation and prices aren't going to go down any time soon. Use this as a harsh learning experience to vote for better government officials next time."
"Jay Maledic","Well heck, he doesn't agree with it probably because they have no problem buying things, no? Now ask the poor and common people."
"Aer Tols","The whole world is in a whole crisis now.. God really love the Philippines, he gave us a next brilliant President.. i could.not imagine what would happen to our country if si Leni ang nanalo, baka sa kangkongan na tayong lahat pupulotin..."
"Juan Pack","Now whose in denial "
"Dennis","Gumagaya kay Ella kala niya ata chismis yung inflation "
"파이 Pie","okay - what is his plans to regulate the inflation?"
"otilonam serrot","He doesn't agree with the inflation? Why? Is it because he never ever been encountered it? It is us who suffered the most"
"Lee20121105702 Ty","Inflation is above even 10% , pag taas ng krudo at ibang simpleng needs- 6.1% is even low estimate as inflation."
"Jay Ann Logro",""
"12 STEM 7A - Santos, Jayson Collin G.","??? Seriously? “DISAGREES”? It’s FACTUAL DATA. The data does not lie, why in the world would he “disagree”? To make it seem like he’s doing a great job on his presidency or something? DO SOMETHING ABOUT IT not just say you disagree. It’s data. Clearly, he does not understand economics."
"Jenri Manfalang","Kaming mga pobre Ramdam na ramdam po namin mr president ang nflation kahit anong percentage pa yan"
"Mika Tani","Global Currency Reset Thank you FEM"
"Vangeline Jansen","Congratolition President Marcos 🇵🇭"
"Dino","Wala talagang malasakit sa simpleng mamamayan. Tinanggihan pa"
"Powerhouse222 Astigsingpet","hahahahaha...ang galing mo PBBM....dabest ka talaga....inflation rate is not that high???hahahaha....out of this world ang talino mo.congratulations 31 milyon.hahaha....ilabas ang GOLD!!!!hahahaha"
"Peenoise Tolongges","Pinoy pride number 1 hahaha"
"Nutrition Facts","baka naman ibig nyang sabihin sa ""high""?"
"Jaime Santillan","Why not go to the market and see it for you self how much prizes had gone up."
"Raul Magno(Sofie)","Oo nga survey lng ng survey wala naman katotohanan..grabe mga statistics na yan..making people worry.."
"Julius Novachrono","It's about time to get out of FIAT currency"
"Andrei Jeanne Go","I’m sorry Mr.Marcos but you’re lying to yourself."
"Cesaria Vintusa","Mabuhay inflation."
"Mervin Pelaez","basta 6.1% , pg bumaba yan ang pinangangalandakan ng administration ,cno cnungaling s inyo dalawa"
"Faqk Russia","Na explain naman. pero tong mga to sa 6.1 lang naka totok noise nalang yong ibang words at explaination para sa kanila."
"Freon914","Red flag. He looks bad with that inflation rate that's why he is slightly tilting the facts just like what he is doing in our history"
"centjun turion","Duterte's admin pa po ang 6.1%. Now it's his turn to shine."
"emem pabualan","Kamoting bagsak sa econ..disagree ka pa️"
